# snow crab decline analysis																																
# styr																																
1989																																
# endyr																																
2021																																
# number of years																																
33																																
# years																																
1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021																																
# number of sizes																																
13																																
# sizes																																
32.5 37.5 42.5 47.5 52.5 57.5 62.5 67.5 72.5 77.5 82.5 87.5 92.5																																
# immature numbers 																																
2330209795	1667536664	2535164264	2198857756	3990543450	3220029245	2621370539	1443389159	705754134	495217677	242200016	727601691	1117085712	394118740	848712054	1205295670	1411811799	777938709	860812949	583602589	722167590	1903653637	1378027170	937566721	756142453	1046181948	1172662820	2011619299	2904352061	4277779660	1313623383	0	57052109.1
# mature numbers																																
778785736.6	585971072.8	470636045.7	419737744	634609133	790353121	997411688	863903650.9	497575184.2	268024647.7	161413618.6	225237531.4	398766676.5	194622203.9	172294617	246301344.4	467267788.7	380903241	396313006	311792071.2	266086388.9	437893373.6	363906744.1	407698084.4	269754581.4	404121606.6	229459346.7	229124703	577867363	1476376257	703394571.5	0	190060201.6
# immature numbers at carapace width																																
10164749	73457886	258485199	268124863	246380392	234166732	230841084	279821103	275701918	194946664	130241199	79039123	48838883																				
51981282	102539070	100846337	162906974	217905858	218434985	171303260	133857185	98833981	84823263	88870900	96783128	138450441																				
174013786	220036405	363117528	389501518	273245266	319214534	257855734	143835645	75847227	69169871	66884957	78076838	104364955																				
199384455	266790627	537360713	559347646	202069466	115269689	101293989	69652341	38535041	40441411	30464187	21498657	16749534																				
412316350	515412667	797414054	713182008	653589819	448098053	253245520	95061605	43972513	24633096	16851535	9089247	7676983																				
300691938	402797532	515155893	444881244	441412416	406921259	298643118	183104922	108888780	60849481	32844831	13156237	10681594																				
58577058	98618975	170050384	346561617	427573516	422126599	395916588	288626286	199359312	101120091	59916677	32844201	20079235																				
4791424	22921358	51587933	74359088	123570821	176288492	203859976	202131633	163785469	133238222	116216347	92574126	78064270																				
1853880	6498196	19867016	37983141	50244661	57119601	69209280	68473487	81249469	79674662	83454070	77599473	72527198																				
6924964	14216752	47620232	103740526	65347473	58506644	49526535	35855420	22264405	19460417	20715459	24169171	26869679																				
34137176	23705862	20066956	30448306	31506678	33425090	29629398	15945050	7141532	4706747	4079399	3665703	3742119																				
40250978	68546351	114611603	105505675	131276105	128064025	66248952	28485237	16082829	11999050	8778950	4846888	2905048																				
8631917	84333207	150445770	55609122	91631823	151176071	165332829	158792004	117997671	71484711	35893448	17123752	8633387																				
9888668	15204478	34278511	33294445	50128219	42284995	42303164	31298119	32717569	25980638	25793997	28706884	22239053																				
71744187	109938604	107631388	187510031	106777254	78129033	50728808	42104620	29292663	22795211	15969650	12969167	13121438																				
151409506	316983455	168994321	151894890	124008602	98678697	108286895	49562542	15012445	9728628	4937614	2288145	3509930																				
35492462	50973994	183260792	205408083	194041558	183771969	233408208	156474354	58407486	36090450	34721867	25454834	14305742																				
26508355	88203056	154700367	76634121	57021814	76171119	79933550	61517473	44745554	33599710	40380132	25970568	12552890																				
9703805	46181808	76184651	133527207	186875964	133746341	82579417	39926966	32806142	28230557	32111285	29517826	29420980																				
41024734	22671907	28699854	29967874	56286494	73344688	82073442	82901180	69645182	38444231	25294979	18264475	14983549																				
67669118	120540490	96976944	114556067	60740593	41991724	38387300	28156157	30589797	29815894	28785957	31000395	32957154																				
131704180	143638375	381098888	609963769	346707323	150346018	79054531	29039972	10754475	7185978	5641030	4849337	3669761																				
80034946	100388057	168136048	182511735	202957608	226819444	205314664	103736511	38721235	28952319	18586026	12179494	9689083																				
67113368	149431924	125318433	82350363	86313334	112780198	112900857	74873262	46499533	32127923	26581646	14458642	6817238																				
68039782	89082834	82374371	118263482	104051392	92265655	59626462	35900612	31034562	28633822	25046825	15442366	6380288																				
93374897	38956739	108001477	223018721	116250942	118054081	129456402	81674671	51265358	33791985	22810426	15935017	13591232																				
237183219	315745444	218716580	113139199	82630426	72836566	50897794	30017257	17034548	12346504	11208630	6270628	4636025																				
340839397	463137825	463384397	361844048	180138664	83580504	49688293	21879953	13040839	12998440	10302515	7007102	3777322																				
230273487	384731655	890142005	570560213	289164620	228517600	155125493	69450968	41438082	26659820	11747549	4942485	1598084																				
13854984	164346917	591313867	813511975	1055543408	756411932	412581835	208474485	117521923	75744603	43738782	16990138	7744811																				
505382.1	679527.2	10318106	65348730	133372975	155254040	200070885	197236017	198233091	164897390	109011343	55735689	22960208																				
0	0	0	0	0	0	0	0	0	0	0	0	0																				
2048731	1923320	895270.1	1136618	1079533	1392355	2022196	2667746	5330537	8882601	11379727	10755037	7538438																				
# mature numbers at carapace width																																
740947.6	1509573	11452167	29639487	59142102	85422706	94703099	103208930	86947707	80347468	77525172	72563350	75583028																				
0	145801.8	3114307	7912345	23250956	41903659	48497838	57696092	71285041	74334696	75858454	77908156	104063727																				
0	153335.5	907393.2	7189589	16572777	44324778	63690967	58304122	49638866	49823125	50108035	56860848	73062210																				
0	1664882	7050431	35805713	42020851	36329213	41093084	43108110	40084272	49347316	44048619	39537033	39648220																				
0	3487073	12749313	39355645	65416404	96570311	98134932	77058197	68683553	59304621	46404867	33763455	33680762																				
2147264	10935063	31604353	38936863	75175051	111863739	117692218	110822390	100179105	79646332	54731309	31252798	25366636																				
0	3267209	16267960	37195374	85896068	111930809	142779817	139624234	145691650	113848565	87051241	64051358	49807403																				
45703.67	441525.2	6268471	17324164	35720005	72153730	98941120	114265684	120325050	121571648	104493301	89628422	82724827																				
0	13974.61	395080.6	3348729	11411249	22906318	45178105	59663597	79283187	75207280	69470463	65643944	65053257																				
0	88615.35	827197.3	5549613	8817551	16475360	22931478	32049170	35377321	34927787	34161092	36007540	40811923																				
186542.4	572266.2	1673462	4309598	8562613	14238870	20342150	20640150	19387208	17547885	16837655	16719997	20395222																				
120542.5	511180.9	5282695	10851286	18721407	29985833	35546299	24783149	21443601	20883307	18672694	18963267	19472270																				
0	310115.7	992982.8	3994586	23416530	39443529	58144187	64961245	59969567	52043694	39577763	27711753	28200724																				
0	28675.03	160763.1	561985.8	4598416	11389729	22439099	25752541	31627251	25354726	23166594	24421233	25121191																				
25419.96	1501894	4561093	14932061	13505511	15677067	16415276	19805061	18541994	18142509	17530078	15589388	16067265																				
149383.4	1039364	2912661	8881720	26295432	33116420	50226948	36525280	20514620	19820503	18276511	13044128	15498374																				
27308.03	741619.7	8865747	19269236	27857815	41472664	76695767	78372559	53729891	42925237	51081102	43373458	22855385																				
1368313	1935863	9860911	10261510	14145106	32278441	65236396	62396453	48689242	37456970	39975152	31600844	25698040																				
0	0	458145	7795244	26955216	41327934	60464645	49610553	46500236	43211600	46033580	38859424	35096429																				
42909.99	230135.2	1447461	3374358	10172974	25770295	41724335	52538680	53604905	38866859	29903967	27828785	26286407																				
0	0	361612.9	13411963	29693577	36364996	37401838	29068987	30125358	26751677	24662577	20791374	17452429																				
0	206636.6	1028864	28615120	61341319	54351269	85354605	45432409	41252421	41971314	22866725	28285827	27186864																				
